S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
8.257152E-07	226160
8.256239E-07	226460
8.263224E-07	226760
8.258590E-07	227060
8.263924E-07	227360
8.268212E-07	227660
8.261831E-07	227960
8.266276E-07	228260
8.261860E-07	228560
8.257981E-07	228860
8.263114E-07	229160
8.258274E-07	229460
8.509747E-07	229760
8.795495E-07	230060
8.791015E-07	230360
8.789618E-07	230660
8.790494E-07	230960
8.815724E-07	231261
8.785967E-07	231561
8.792704E-07	231861
8.789265E-07	232161
8.789860E-07	232461
8.782861E-07	232761
8.792424E-07	233061
8.793966E-07	233361
8.794139E-07	233661
8.791466E-07	233961
8.798817E-07	234261
8.792152E-07	234561
8.792721E-07	234861
8.798755E-07	235161
8.793571E-07	235461
8.798227E-07	235761
8.800573E-07	236061
8.804544E-07	236361
8.799747E-07	236661
8.800653E-07	236961
8.805564E-07	237261
8.801212E-07	237561
8.810485E-07	237861
8.805000E-07	238161
8.771749E-07	238464
8.800795E-07	238764
8.806174E-07	239064
8.805112E-07	239364
8.886334E-07	239664
9.272820E-07	239964
9.283534E-07	240264
9.281214E-07	240564
9.403374E-07	240870
9.285643E-07	241170
9.286151E-07	241470
9.289262E-07	241770
9.283955E-07	242070
9.285696E-07	242370
9.288016E-07	242670
9.284134E-07	242970
9.281115E-07	243270
9.287619E-07	243570
9.287340E-07	243870
9.281101E-07	244170
9.281907E-07	244470
9.291819E-07	244770
9.284344E-07	245070
9.293907E-07	245370
9.299402E-07	245670
9.310337E-07	245973
9.285434E-07	246271
9.301847E-07	246573
9.314400E-07	246871
9.275880E-07	247173
9.278234E-07	247471
9.283862E-07	247773
9.280712E-07	248072
9.278914E-07	248373
9.278319E-07	248671
9.278219E-07	248973
9.277074E-07	249271
9.274583E-07	249573
9.683994E-07	249871
9.769296E-07	250173
9.766200E-07	250471
9.767591E-07	250773
9.772858E-07	251072
9.769379E-07	251373
9.767135E-07	251671
9.771308E-07	251973
9.775421E-07	252271
9.780739E-07	252573
9.776687E-07	252871
9.778247E-07	253173
9.781506E-07	253472
9.783338E-07	253773
9.783097E-07	254072
9.787389E-07	254373
9.788595E-07	254672
9.792142E-07	254973
9.798242E-07	255272
9.807284E-07	255573
9.796356E-07	255872
9.816600E-07	256174
9.808047E-07	256472
9.808249E-07	256773
9.790459E-07	257072
9.836248E-07	257373
9.808414E-07	257672
9.779737E-07	257973
9.785780E-07	258272
9.784364E-07	258573
9.779753E-07	258872
9.790523E-07	259173
9.812500E-07	259472
1.006832E-06	259773
1.033939E-06	260072
1.033791E-06	260373
1.031864E-06	260673
1.031036E-06	260973
1.031519E-06	261273
1.031335E-06	261573
1.030796E-06	261873
1.030412E-06	262173
1.030854E-06	262473
1.030577E-06	262773
1.030606E-06	263073
1.030020E-06	263373
1.031225E-06	263673
1.030395E-06	263973
1.030177E-06	264273
1.030158E-06	264573
1.030512E-06	264873
1.030394E-06	265173
1.030317E-06	265473
1.031219E-06	265773
1.031479E-06	266073
1.031009E-06	266373
1.031358E-06	266673
1.031610E-06	266973
1.031561E-06	267273
1.031494E-06	267573
1.031970E-06	267874
1.031425E-06	268174
1.031172E-06	268474
1.031989E-06	268774
1.031870E-06	269074
1.031937E-06	269374
1.040900E-06	269674
1.080141E-06	269974
1.092816E-06	270281
1.080300E-06	270581
1.080553E-06	270881
1.081094E-06	271181
1.080331E-06	271481
1.080054E-06	271781
1.080216E-06	272081
1.080169E-06	272381
1.080196E-06	272681
1.080991E-06	272981
1.080771E-06	273281
1.079959E-06	273581
1.079396E-06	273881
1.079608E-06	274181
1.079525E-06	274481
1.079291E-06	274781
1.078612E-06	275082
1.081069E-06	275382
1.081543E-06	275682
1.081450E-06	275982
1.081068E-06	276282
1.081723E-06	276582
1.081303E-06	276882
1.081765E-06	277182
1.082155E-06	277482
1.081908E-06	277782
1.082171E-06	278082
1.082298E-06	278382
